run_id,model,seed,target,n_train,n_test,accuracy,f1_macro,f1_weighted,mae_ordinal,kappa_qw,auc_ovr,time_seconds,cv_f1_weighted_mean,cv_f1_weighted_std,best_params
20260511_223913,svm_rbf,7,confianza_idx_round,402,173,0.3815028901734104,0.361727375078645,0.3786862237988696,0.8901734104046243,0.2559856216701969,0.631868819534669,89.61,0.4519586394831844,0.029023691540103307,"{""clf__C"": 5.095779888888421, ""clf__gamma"": 0.010935880533081331}"
20260511_223913,svm_rbf,13,confianza_idx_round,402,173,0.4161849710982659,0.3342577556350871,0.4000374347485418,0.861271676300578,0.1417531376618243,0.6574360493566461,98.02,0.49659370152917387,0.030235426784362626,"{""clf__C"": 11.097171907910113, ""clf__gamma"": 0.07544536657305946}"
20260511_223913,svm_rbf,21,confianza_idx_round,402,173,0.49710982658959535,0.37598589065255733,0.47710105922051976,0.7109826589595376,0.2926544341275755,0.717856310856496,74.38,0.44935121114010157,0.017266704307856057,"{""clf__C"": 105.45040695183958, ""clf__gamma"": 0.09711005438446897}"
20260511_223913,svm_rbf,42,confianza_idx_round,402,173,0.4277456647398844,0.36387217559252427,0.4132847488896105,0.8554913294797688,0.14784988272087562,0.6550023064583775,80.05,0.45827740866207306,0.06094170298594408,"{""clf__C"": 1.1269758643814651, ""clf__gamma"": 0.05994537656798812}"
20260511_223913,hist_gradient_boosting,0,confianza_idx_round,402,173,0.41040462427745666,0.3639749757396816,0.4062867452870853,0.8034682080924855,0.2587945973986052,0.6466897439354907,151.23,0.4234502106729113,0.06259304512545949,"{""clf__min_samples_leaf"": 10, ""clf__max_iter"": 400, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.1, ""clf__l2_regularization"": 0.1}"
20260511_223913,hist_gradient_boosting,7,confianza_idx_round,402,173,0.4393063583815029,0.35133496663005825,0.4329839471706479,0.8497109826589595,0.14846431879688315,0.658710719459767,126.82,0.4425841964123305,0.05221623423712932,"{""clf__min_samples_leaf"": 10, ""clf__max_iter"": 400, ""clf__max_depth"": 10, ""clf__learning_rate"": 0.2, ""clf__l2_regularization"": 0.0}"
20260511_223913,hist_gradient_boosting,13,confianza_idx_round,402,173,0.4508670520231214,0.42575675399574653,0.44226813858466996,0.7861271676300579,0.289319248826291,0.6291411074601032,233.2,0.4918898011082785,0.05587547080994902,"{""clf__min_samples_leaf"": 20, ""clf__max_iter"": 400, ""clf__max_depth"": 20, ""clf__learning_rate"": 0.2, ""clf__l2_regularization"": 0.1}"
20260511_223913,hist_gradient_boosting,21,confianza_idx_round,402,173,0.4277456647398844,0.2905078014904719,0.4104195948965159,0.791907514450867,0.19444961817843176,0.6588444681626755,147.18,0.42950743243929035,0.049978546394735826,"{""clf__min_samples_leaf"": 10, ""clf__max_iter"": 400, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.05, ""clf__l2_regularization"": 0.0}"
20260511_223913,hist_gradient_boosting,42,confianza_idx_round,402,173,0.4046242774566474,0.35950003348737525,0.3997764766093588,0.8670520231213873,0.10358948644018229,0.6113853915212201,182.22,0.45264939950946353,0.03439418567893052,"{""clf__min_samples_leaf"": 30, ""clf__max_iter"": 250, ""clf__max_depth"": 20, ""clf__learning_rate"": 0.1, ""clf__l2_regularization"": 1.0}"
20260511_223913,voting_ensemble,0,confianza_idx_round,402,173,0.42196531791907516,0.35681150793650795,0.4157857372235985,0.8554913294797688,0.19714357664496163,0.6731473096827659,13.06,0.0,0.0,{}
20260511_223913,voting_ensemble,7,confianza_idx_round,402,173,0.47398843930635837,0.37517372977899294,0.4712551544389087,0.8208092485549133,0.13733239759169646,0.7095839551269101,8.77,0.0,0.0,{}
20260511_223913,voting_ensemble,13,confianza_idx_round,402,173,0.3988439306358382,0.3334258721677628,0.3908337346618665,0.8439306358381503,0.21559737021083647,0.6556987450804672,9.08,0.0,0.0,{}
20260511_223913,voting_ensemble,21,confianza_idx_round,402,173,0.4913294797687861,0.3949678490853869,0.48781658630118113,0.7456647398843931,0.2799947270296229,0.6876935458034984,8.02,0.0,0.0,{}
20260511_223913,voting_ensemble,42,confianza_idx_round,402,173,0.44508670520231214,0.3835791484583882,0.4402835402080765,0.815028901734104,0.17381667237592446,0.6797821222999741,11.88,0.0,0.0,{}
